Pilha; Entrada; Acao; Producao;
$ E; id * ( ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; E->TE';
$ E' T; id * ( ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; T->FT';
$ E' T' F; id * ( ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; F->id;
$ E' T' id; id * ( ( id + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T'; * ( ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; T'->*FT';
$ E' T' F *; * ( ( id + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' F; ( ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; F->(E);
$ E' T' ) E (; ( ( id + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E; ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; E->TE';
$ E' T' ) E' T; ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' F; ( id + id ) * ( id * ( id + id ) ) ) $; Expandir; F->(E);
$ E' T' ) E' T' ) E (; ( id + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E; id + id ) * ( id * ( id + id ) ) ) $; Expandir; E->TE';
$ E' T' ) E' T' ) E' T; id + id ) * ( id * ( id + id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' ) E' T' F; id + id ) * ( id * ( id + id ) ) ) $; Expandir; F->id;
$ E' T' ) E' T' ) E' T' id; id + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T'; + id ) * ( id * ( id + id ) ) ) $; Expandir; T'->epsilon;
$ E' T' ) E' T' ) E'; + id ) * ( id * ( id + id ) ) ) $; Expandir; E'->+TE';
$ E' T' ) E' T' ) E' T +; + id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T; id ) * ( id * ( id + id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' ) E' T' F; id ) * ( id * ( id + id ) ) ) $; Expandir; F->id;
$ E' T' ) E' T' ) E' T' id; id ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T'; ) * ( id * ( id + id ) ) ) $; Expandir; T'->epsilon;
$ E' T' ) E' T' ) E'; ) * ( id * ( id + id ) ) ) $; Expandir; E'->epsilon;
$ E' T' ) E' T' ); ) * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T'; * ( id * ( id + id ) ) ) $; Expandir; T'->*FT';
$ E' T' ) E' T' F *; * ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' F; ( id * ( id + id ) ) ) $; Expandir; F->(E);
$ E' T' ) E' T' ) E (; ( id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E; id * ( id + id ) ) ) $; Expandir; E->TE';
$ E' T' ) E' T' ) E' T; id * ( id + id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' ) E' T' F; id * ( id + id ) ) ) $; Expandir; F->id;
$ E' T' ) E' T' ) E' T' id; id * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T'; * ( id + id ) ) ) $; Expandir; T'->*FT';
$ E' T' ) E' T' ) E' T' F *; * ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T' F; ( id + id ) ) ) $; Expandir; F->(E);
$ E' T' ) E' T' ) E' T' ) E (; ( id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T' ) E; id + id ) ) ) $; Expandir; E->TE';
$ E' T' ) E' T' ) E' T' ) E' T; id + id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' ) E' T' ) E' T' F; id + id ) ) ) $; Expandir; F->id;
$ E' T' ) E' T' ) E' T' ) E' T' id; id + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T' ) E' T'; + id ) ) ) $; Expandir; T'->epsilon;
$ E' T' ) E' T' ) E' T' ) E'; + id ) ) ) $; Expandir; E'->+TE';
$ E' T' ) E' T' ) E' T' ) E' T +; + id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T' ) E' T; id ) ) ) $; Expandir; T->FT';
$ E' T' ) E' T' ) E' T' ) E' T' F; id ) ) ) $; Expandir; F->id;
$ E' T' ) E' T' ) E' T' ) E' T' id; id ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T' ) E' T'; ) ) ) $; Expandir; T'->epsilon;
$ E' T' ) E' T' ) E' T' ) E'; ) ) ) $; Expandir; E'->epsilon;
$ E' T' ) E' T' ) E' T' ); ) ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T' ) E' T'; ) ) $; Expandir; T'->epsilon;
$ E' T' ) E' T' ) E'; ) ) $; Expandir; E'->epsilon;
$ E' T' ) E' T' ); ) ) $; Desempilhar e avancar; ;
$ E' T' ) E' T'; ) $; Expandir; T'->epsilon;
$ E' T' ) E'; ) $; Expandir; E'->epsilon;
$ E' T' ); ) $; Desempilhar e avancar; ;
$ E' T'; $; Expandir; T'->epsilon;
$ E'; $; Expandir; E'->epsilon;
$; $; Desempilhar e avancar; ;
; ; Encerrar com sucesso; ;
