Pilha; Entrada; Acao; Producao;
$ E; id + id * id $; Expandir; E->TE';
$ E' T; id + id * id $; Expandir; T->FT';
$ E' T' F; id + id * id $; Expandir; F->id;
$ E' T' id; id + id * id $; Desempilhar e avancar; ;
$ E' T'; + id * id $; Expandir; T'->epsilon;
$ E'; + id * id $; Expandir; E'->+TE';
$ E' T +; + id * id $; Desempilhar e avancar; ;
$ E' T; id * id $; Expandir; T->FT';
$ E' T' F; id * id $; Expandir; F->id;
$ E' T' id; id * id $; Desempilhar e avancar; ;
$ E' T'; * id $; Expandir; T'->*FT';
$ E' T' F *; * id $; Desempilhar e avancar; ;
$ E' T' F; id $; Expandir; F->id;
$ E' T' id; id $; Desempilhar e avancar; ;
$ E' T'; $; Expandir; T'->epsilon;
$ E'; $; Expandir; E'->epsilon;
$; $; Desempilhar e avancar; ;
; ; Encerrar com sucesso; ;
