; @; +; *; (; ); a; ,; $; E; T; F; P; L
0; ; ; ; d 4; ; d 3; ; ; 6; 1; 2; 5; 
1; ; r 2; d 7; ; r 2; ; r 2; r 2; ; ; ; ; 
2; ; r 4; r 4; ; r 4; ; r 4; r 4; ; ; ; ; 
3; r 8; r 8; r 8; d 8; r 8; ; r 8; r 8; ; ; ; ; 
4; ; ; ; d 4; ; d 3; ; ; 9; 1; 2; 5; 
5; d 10; r 6; r 6; ; r 6; ; r 6; r 6; ; ; ; ; 
6; ; d 11; ; ; ; ; ; act; ; ; ; ; 
7; ; ; ; d 4; ; d 3; ; ; ; ; 12; 5; 
8; ; ; ; d 4; ; d 3; ; ; 14; 1; 2; 5; 13
9; ; d 11; ; ; d 15; ; ; ; ; ; ; ; 
10; ; ; ; d 4; ; d 3; ; ; ; ; 16; 5; 
11; ; ; ; d 4; ; d 3; ; ; ; 17; 2; 5; 
12; ; r 3; r 3; ; r 3; ; r 3; r 3; ; ; ; ; 
13; ; ; ; ; d 18; ; d 19; ; ; ; ; ; 
14; ; d 11; ; ; r 11; ; r 11; ; ; ; ; ; 
15; r 7; r 7; r 7; ; r 7; ; r 7; r 7; ; ; ; ; 
16; ; r 5; r 5; ; r 5; ; r 5; r 5; ; ; ; ; 
17; ; r 1; d 7; ; r 1; ; r 1; r 1; ; ; ; ; 
18; r 9; r 9; r 9; ; r 9; ; r 9; r 9; ; ; ; ; 
19; ; ; ; d 4; ; d 3; ; ; 20; 1; 2; 5; 
20; ; d 11; ; ; r 10; ; r 10; ; ; ; ; ; 
